name	molecularFormula	adduct	precursorFormula	most specific class	level 5	subclass	class	superclass	all classifications
1035_IB2020_positive_fbmniin_lowintensity_sirius_1696	C14H20O4	[M + H]+	C14H20O4	Ethers		Ethers	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organoheterocyclic compounds; Ethers; Organooxygen compounds; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
6667_IB2020_positive_fbmniin_lowintensity_sirius_68106	C18H28N2O5	[M + H]+	C18H28N2O5	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1417_IB2020_positive_fbmniin_lowintensity_sirius_4176	C21H45IN4O7P	[M + H]+	C21H45IN4O7P	Phosphosphingolipids		Phosphosphingolipids	Sphingolipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; N-acyl amines; Phosphoethanolamines; Secondary alcohols; Secondary carboxylic acid amides; Amines; Primary amines; Phosphosphingolipids; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
5049_IB2020_positive_fbmniin_lowintensity_sirius_40284	C35H66N4O12	[M + H3N + H]+	C35H69N5O12	Dialkyl ethers	Dialkyl ethers	Ethers	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Phenylpropanoids and polyketides; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2920_IB2020_positive_fbmniin_lowintensity_sirius_20556	C27H28O	[M + Na]+	C27H28O	Benzene and substituted derivatives			Benzene and substituted derivatives	Benzenoids	Organic compounds; Ketones; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
5909_IB2020_positive_fbmniin_lowintensity_sirius_52959	C16H38N6O8	[M + H]+	C16H38N6O8	Secondary alcohols	Secondary alcohols	Alcohols and polyols	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Secondary alcohols; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1865_IB2020_positive_fbmniin_lowintensity_sirius_11291	C15H33NO7	[M + H]+	C15H33NO7	1,2-aminoalcohols	Alkanolamines	Amines	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; 1,2-aminoalcohols; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
3354_IB2020_positive_fbmniin_lowintensity_sirius_25545	C12H27NO6	[M + H]+	C12H27NO6	1,2-aminoalcohols	Alkanolamines	Amines	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Dialkyl ethers; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
667_IB2020_positive_fbmniin_lowintensity_sirius_939	C26H42N10O3	[M + H3N + H]+	C26H45N11O3	Amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2228_IB2020_positive_fbmniin_lowintensity_sirius_15466	C17H34O3	[M + Na]+	C17H34O3	Fatty Acyls			Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
7257_IB2020_positive_fbmniin_lowintensity_sirius_91588	C35H48N2O3	[M + H]+	C35H48N2O3	Quinolines and derivatives			Quinolines and derivatives	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Quinolines and derivatives; Benzene and substituted derivatives; Benzenoids; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1_IB2020_positive_fbmniin_lowintensity_sirius_2	C34H69N5O10	[M + H]+	C34H69N5O10	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
4295_IB2020_positive_fbmniin_lowintensity_sirius_37641	C29H50N4O9	[M + H3N + H]+	C29H53N5O9	Carboxylic acid derivatives		Carboxylic acid derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
4295_IB2020_positive_fbmniin_lowintensity_sirius_37641	C35H50O8	[M + H3N + H]+	C35H53NO8	Triacylglycerols	Triacylglycerols	Triradylcglycerols	Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Ethers; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Triacylglycerols; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Triradylcglycerols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
4295_IB2020_positive_fbmniin_lowintensity_sirius_37641	C25H46N10O7	[M + H3N + H]+	C25H49N11O7	Lipids and lipid-like molecules				Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organonitrogen compounds; Organooxygen compounds; Azoles; Monoalkylamines; Amines; Primary amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1163_IB2020_positive_fbmniin_lowintensity_sirius_2090	C21H36O8	[M + Na]+	C21H36O8	Carboxylic acid esters	Carboxylic acid esters	Carboxylic acid derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
2886_IB2020_positive_fbmniin_lowintensity_sirius_20415	C12H22N2O2	[M - H2O + H]+	C12H20N2O	Dipeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
4794_IB2020_positive_fbmniin_lowintensity_sirius_39575	C11H21NO	[M + H]+	C11H21NO	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
3901_IB2020_positive_fbmniin_lowintensity_sirius_29603	C31H51IN6O	[M + K]+	C31H51IN6O	Aminopyrimidines and derivatives	Aminopyrimidines and derivatives	Pyrimidines and pyrimidine derivatives	Diazines	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Diazines; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1473_IB2020_positive_fbmniin_lowintensity_sirius_4259	C25H45I2N7O7	[M + H]+	C25H45I2N7O7	Peptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Alcohols and polyols; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Peptides; Monoalkylamines; Carboxylic acid amides; N-acyl amines; Secondary carboxylic acid amides; Alpha amino acid amides; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2681_IB2020_positive_fbmniin_lowintensity_sirius_18445	C18H34N10O7	[M + Na]+	C18H34N10O7	Glycosylamines	Glycosyl compounds	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Imidazoles; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Monoalkylamines; Pentoses; Monosaccharides; Secondary alcohols; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
6571_IB2020_positive_fbmniin_lowintensity_sirius_66046	C23H33NO3	[M + H]+	C23H33NO3	Benzenoids				Benzenoids	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
6937_IB2020_positive_fbmniin_lowintensity_sirius_80465	C23H30N10O3	[M + Na]+	C23H30N10O3	Amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Aminopyrimidines and derivatives; Carbonyl compounds; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1231_IB2020_positive_fbmniin_lowintensity_sirius_2387	C20H30N7O2	[M + H]+	C20H30N7O2	Dialkylarylamines	Tertiary amines	Amines	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Amines; Primary amines; Tertiary amines; Tertiary alkylarylamines; Imidolactams; Dialkylarylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
6099_IB2020_positive_fbmniin_lowintensity_sirius_55672	C35H68N10O5	[M + H3N + H]+	C35H71N11O5	Peptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Dialkyl ethers; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
918_IB2020_positive_fbmniin_lowintensity_sirius_1401	C37H77N11O8	[M + H]+	C37H77N11O8	Oligopeptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Peptides; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Secondary carboxylic acid amides; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities
71_IB2020_positive_fbmniin_lowintensity_sirius_108	C20H42O11	[M + H]+	C20H42O11	Polyethylene glycols	Dialkyl ethers	Ethers	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
378_IB2020_positive_fbmniin_lowintensity_sirius_504	C31H58N4O4	[M + H3N + H]+	C31H61N5O4	Heteroaromatic compounds			Heteroaromatic compounds	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1912_IB2020_positive_fbmniin_lowintensity_sirius_11513	C24H40O8	[M + Na]+	C24H40O8	Carboxylic acid esters	Carboxylic acid esters	Carboxylic acid derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
5258_IB2020_positive_fbmniin_lowintensity_sirius_43408	C7H17N7O6	[M + H]+	C7H17N7O6	Organic nitro compounds		Organic nitro compounds	Allyl-type 1,3-dipolar organic compounds	Organic 1,3-dipolar compounds	Organic compounds; Organoheterocyclic compounds; Ethers; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Dialkyl ethers; Amines; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
5700_IB2020_positive_fbmniin_lowintensity_sirius_49443	C18H38O9	[M + H3N + H]+	C18H41NO9	Polyethylene glycols	Dialkyl ethers	Ethers	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
3994_IB2020_positive_fbmniin_lowintensity_sirius_32837	C30H52N4O10	[M + H3N + H]+	C30H55N5O10	Amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid derivatives; N-acyl amines; Carbonyl compounds; Tricarboxylic acids and derivatives; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
3994_IB2020_positive_fbmniin_lowintensity_sirius_32837	C26H48N10O8	[M + H3N + H]+	C26H51N11O8	Peptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
5967_IB2020_positive_fbmniin_lowintensity_sirius_53650	C28H36N4O4	[M + H]+	C28H36N4O4	Amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alkyl aryl ethers; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Dialkylamines; Trialkylamines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Secondary amines; Tertiary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2351_IB2020_positive_fbmniin_lowintensity_sirius_15897	C46H82O8	[M + H]+	C46H82O8	Triacylglycerols	Triacylglycerols	Triradylcglycerols	Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Triacylglycerols; Carboxylic acid esters; Carbonyl compounds; Tricarboxylic acids and derivatives; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
6061_IB2020_positive_fbmniin_lowintensity_sirius_54928	C12H20O	[M + H]+	C12H20O	Carbonyl compounds		Carbonyl compounds	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
6512_IB2020_positive_fbmniin_lowintensity_sirius_63486	C26H42O5	[M + Na]+	C26H42O5	Glycerolipids			Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Alcohols and polyols; Glycerolipids; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Benzene and substituted derivatives; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
3376_IB2020_positive_fbmniin_lowintensity_sirius_25655	C22H44N10O7	[M + H3N + H]+	C22H47N11O7	Imidazoles		Imidazoles	Azoles	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Imidazoles; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Dialkyl ethers; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
5027_IB2020_positive_fbmniin_lowintensity_sirius_40158	C21H38N10O5	[M + H]+	C21H38N10O5	Aminopyrimidines and derivatives	Aminopyrimidines and derivatives	Pyrimidines and pyrimidine derivatives	Diazines	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Monoalkylamines; Aminopyrimidines and derivatives; Substituted imidazoles; Amines; Primary amines; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
5027_IB2020_positive_fbmniin_lowintensity_sirius_40158	C25H42N4O7	[M + H]+	C25H42N4O7	Alpha amino acid amides	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
4180_IB2020_positive_fbmniin_lowintensity_sirius_35144	C19H23N3O2	[M + H]+	C19H23N3O2	Benzene and substituted derivatives			Benzene and substituted derivatives	Benzenoids	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
5890_IB2020_positive_fbmniin_lowintensity_sirius_52903	C40H78O15	[M - H2O + H]+	C40H76O14	Alkyl glycosides	Alkyl glycosides	Fatty acyl glycosides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1996_IB2020_positive_fbmniin_lowintensity_sirius_12475	C17H26O4	[M + H]+	C17H26O4	Ketones	Ketones	Carbonyl compounds	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Ketones; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
4079_IB2020_positive_fbmniin_lowintensity_sirius_33470	C23H44N6O3	[M + H]+	C23H44N6O3	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Diazines; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
5592_IB2020_positive_fbmniin_lowintensity_sirius_46915	C24H48N10O10	[M + H]+	C24H48N10O10	Peptides	Peptides	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
3491_IB2020_positive_fbmniin_lowintensity_sirius_26617	C14H24O5	[M + Na]+	C14H24O5	Fatty acids and conjugates		Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
3084_IB2020_positive_fbmniin_lowintensity_sirius_21763	C28H49NO4	[M + H]+	C28H49NO4	Amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Piperidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Dialkylamines; Amines; Secondary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
4353_IB2020_positive_fbmniin_lowintensity_sirius_37703	C29H60O7	[M + H]+	C29H60O7	Triradylcglycerols		Triradylcglycerols	Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Primary alcohols; Organooxygen compounds; Triradylcglycerols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
